=================================================================================
                       OPTIMIZATION SWEEP LEADERBOARD
Parameters: X, Y, Z, C | Runs per combo: 100 | Challenge Rand: 0.4
=================================================================================
Rank | Score  | X | Y | Z | C | Stability | Collision | Contenders
-----|--------|---|---|---|---|-----------|-----------|-----------
   1 | 4.270 | 2 | 6 | 1 | 1 | 4.670     | 0.490     | 10.090    
   2 | 4.140 | 5 | 7 | 2 | 3 | 4.760     | 0.400     | 9.780     
   3 | 4.080 | 3 | 5 | 2 | 2 | 4.660     | 0.580     | 10.000    
   4 | 4.070 | 2 | 4 | 1 | 3 | 4.300     | 0.660     | 10.430    
   5 | 4.050 | 4 | 6 | 3 | 2 | 4.630     | 0.350     | 9.770     
   6 | 4.020 | 4 | 6 | 1 | 2 | 4.790     | 0.380     | 9.610     
   7 | 3.950 | 4 | 7 | 3 | 2 | 4.560     | 0.330     | 9.720     
   8 | 3.910 | 5 | 7 | 4 | 3 | 4.360     | 0.300     | 9.850     
   9 | 3.900 | 2 | 7 | 1 | 2 | 4.430     | 0.360     | 9.830     
  10 | 3.890 | 4 | 5 | 2 | 3 | 4.290     | 0.300     | 9.900     
  11 | 3.850 | 5 | 6 | 2 | 2 | 4.790     | 0.320     | 9.380     
  12 | 3.830 | 2 | 7 | 1 | 3 | 4.500     | 0.470     | 9.800     
  13 | 3.830 | 3 | 7 | 2 | 2 | 4.700     | 0.380     | 9.510     
  14 | 3.820 | 3 | 7 | 1 | 2 | 4.780     | 0.400     | 9.440     
  15 | 3.810 | 5 | 7 | 3 | 2 | 4.460     | 0.210     | 9.560     
  16 | 3.800 | 3 | 6 | 2 | 2 | 4.700     | 0.470     | 9.570     
  17 | 3.790 | 2 | 6 | 1 | 3 | 4.330     | 0.540     | 10.000    
  18 | 3.780 | 2 | 5 | 1 | 1 | 4.690     | 0.800     | 9.890     
  19 | 3.780 | 3 | 7 | 2 | 3 | 4.620     | 0.460     | 9.620     
  20 | 3.780 | 3 | 6 | 1 | 2 | 4.510     | 0.430     | 9.700     
  21 | 3.770 | 3 | 6 | 1 | 3 | 4.330     | 0.330     | 9.770     
  22 | 3.740 | 5 | 6 | 4 | 3 | 4.540     | 0.360     | 9.560     
  23 | 3.730 | 4 | 6 | 2 | 3 | 4.570     | 0.520     | 9.680     
  24 | 3.710 | 3 | 4 | 1 | 3 | 4.480     | 0.500     | 9.730     
  25 | 3.700 | 3 | 6 | 1 | 1 | 4.660     | 0.460     | 9.500     
  26 | 3.690 | 4 | 5 | 2 | 2 | 4.900     | 0.560     | 9.350     
  27 | 3.690 | 2 | 3 | 1 | 3 | 4.380     | 0.710     | 10.020    
  28 | 3.680 | 4 | 5 | 1 | 3 | 4.560     | 0.360     | 9.480     
  29 | 3.640 | 3 | 4 | 1 | 2 | 4.850     | 0.670     | 9.460     
  30 | 3.630 | 3 | 4 | 2 | 2 | 4.510     | 0.550     | 9.670     
  31 | 3.630 | 3 | 5 | 2 | 3 | 4.500     | 0.540     | 9.670     
  32 | 3.630 | 3 | 5 | 1 | 1 | 4.670     | 0.480     | 9.440     
  33 | 3.620 | 4 | 7 | 1 | 1 | 4.640     | 0.370     | 9.350     
